question,answer
Is  Disability  Insurance  Required  By  Law?," Not generally. There are five states that require most all employers carry short term disability insurance on their employees. These states are: California, Hawaii, New Jersey, New York, and Rhode Island. Besides this mandatory short term disability law, there is no other legislative imperative for someone to purchase or be covered by disability insurance."
Can  Creditors  Take  Life  Insurance  After  Death?," If the person who passed away was the one with the debt, creditors generally cannot take the life insurance proceeds left as long as the beneficiary was a person. The money then belongs to that beneficiary, and as long as creditors do not have a claim against the beneficiary, they cannot take life insurance proceeds from them."
Does  Travelers  Insurance  Have  Renters  Insurance?," One of the insurance carriers I represent is Travelers and yes, you can purchase Renters insurance through Travelers. I would look for a local agent who can assist you in placing a renters policy if you are interested. I am sure the local agent would be happy to quote Travelers if they have access and other carries as well."
Can  I  Drive  A  New  Car  Home  Without  Insurance?," Most auto dealers will not let you drive the car off of the lot unless you have proof of insurance if there is a loan on the car. It is never a good idea to drive a car without insurance. If you traded a car in, then the coverage on the older car may extend to the new car temporarily, but you need to call your agent as soon as possible and get it changed. Most dealerships have an insurance agent they work with who can get you coverage as well."
Is  The  Cash  Surrender  Value  Of  Life  Insurance  Taxable?," Cash surrender value comes only with Whole Life Insurance, never with Term. It is the amount you can terminate your policy and receive. That amount includes both what you put in and what profit you made. The profit is taxable, just as most profit would be taxable. A far better idea would be NOT to surrender your Whole Life Policy, but instead to keep it and borrow against it and either then not repay it or choose to repay it as you wish. You continue to grow in value, even when the loan is out, and your policy stays in force, although the death benefit is reduced by the loan until it is paid back. There are numerous option you should discuss with a qualified agent. Gary Lane, Registered Representative, New York Life, 949 797 2424. Call anytime. Thank you."
How  Is  Annuity  Income  Reported?," The good news is that annuity income is usually reported by the insurance company issuing the annuity. When they make a disbursement they also issue appropriate documentation to assist in filing your taxes. They send identical information to the Internal Revenue Service. Generally speaking when money is withdrawn from an annuity it is treated as interest and then taxed as ordinary income until the interest is exhausted and only the basis (the sum of premiums paid) remains. That money can be recovered free of income tax. If the annuity is annuitized, that is paid out in monthly installments either over an extended period of time or the lifetime of the annuitant, then an exclusion factor is determined and applied to each payment. A part of each payment will be taxed as ordinary income. The bad news is that these principles apply to non-qualified annuities held by individuals and these barely touch all the situations that can arise and the taxation of those unique situations. While this response is not meant to take the place of legal and accounting professional advice it should alert you to some of the complexities of taxing annuities. The most obvious situation is when an annuity is held as an asset of qualified pension plan. This includes defined benefit plans. defined contribution plans (401(k), IRAs and many others. The income taken by these plans is taxed as ordinary income unless it is taken prior to age fifty-nine and a half. If taken earlier it could be subject to a penalty tax of an additional ten per cent. Where annuities taxation becomes complex is when deferred annuities are transferred. That is when a person gives another person an annuity on their life, or the life of a third party. The basic rule is that the transfer is treated as surrender and taxed accordingly. The annuity that is transferred is treated as having been fully paid. It then has a basis of the value that was taxed. For estate planning reasons the ownership of an annuity is sometimes held by a trust and this leads to another set of taxation considerations involving the non-natural person rule. Who is going to be taxed is the basic issue and this can be quite tangled. Of course there are exceptions to all of these rules. Taxation is fairly straightforward if the annuity is annuitized. State laws concerning probate can create some unexpected outcomes and taxation. When an individual owns an annuity and the annuitant is another person, perhaps a spouse, the death of the owner triggers the beneficiary provision and another third person could suddenly own the contract upsetting the intentions of the couple, even if it is a child. Many of the taxation rules are specific to individual insurance companies and it is wise to carefully make sure that the company you select from whom to purchase the annuity follows the procedures that will maintain your plan and keep taxation as uncomplicated as possible. Absent all other plans, the IRS frequently calls for a liquidation of a transferred annuity within five years. The key is the desire to get the tax question settled."
What  Does  AAA  Home  Insurance  Cover?," AAA Home insurance, like all other major carriers, covers a wide variety of claims, including fire, theft, vandalism, and many other items. However, there are numerous types of policies offered, so it is best to determine the type of policy you have to accurately understand all of the benefits. An experienced broker can help."
What  Is  A  Simple  Retirement  Plan?," what is a SIMPLE retirement plan? A Simple is an inexpensive opportunity for a small business to have a retirement plan that doesn't break the bank in advisor fees. A Simple plan is an IRS approved plan with only a few steps to follow so expensive testing and record keeping aren't necessary. For any small business who are considering a retirement plan to offer, this should be right on top as it does provide a great platform for a business who would rather use it's money to put towards employees retirements rather than third party administers plans."
What  Does  Social  Security  Disability  Insurance  Cover?, Social Security Disability Insurance pays a monthly benefit to people who cannot work due to a disability. The benefit is paid in cash to the recipient to use as they wish. it is not paid to an institution or entity. An injury or illness that causes the person to be unable to work is covered.
Is  Car  Insurance  Prepaid?," Yes, automobile insurance is typically paid in advance. Normally no less than thirty days at a time. Each carrier sets their own requirements as to the initial payment amount for new coverage. Most carriers allow clients to pay monthly, quarterly, semi-annually, or annually. If you pay your premium in full for semi-annual or annual you may also receive a discount on your rate ( this is solely at the discretion of the carrier )."
What  Does  Medicare  Part  B  Cover?," Medicare Part B covers the doctor services, outpatient hospital services, medical services and supplies. There is a monthly cost charged to the Social Security check received. There is a deductible and 20% copayments if incurred. In addition you pay all costs for services and supplies not covered by Medicare."
Can  Veterans  Get  Life  Insurance?," Unless a service person gets Veterans Group Life Insurance (VGLI) within a year from separating from the service, their Servicemembers Group Life Insurance (SGLI) will end and they will need to get a private policy. Contact an agency or website that carries several products to choose from to find the best rate for Veteran's life insurance."
Does  My  Homeowners  Insurance  Cover  Lost  Wedding  Ring?," Great question. Generally no, your Homeowners' policy will not cover for anything that is lost. This is referred to as Mysterious Disappearance in your policy documents and is usually listed as a specific exclusion. That having been said, you can certainly obtain coverage for such a loss by working with your insurance professional and asking that the item be insured specifically either as a rider which is attached to your Homeowners' policy or as a stand alone separate policy. You will need to provide a current appraisal and the item would be insured to the stated amount on the appraisal. Such riders or separate policies (commonly referred to as Personal Inland Marine) include much broader coverage than does a standard Homeowners policy and will cover for such a loss."
How  Does  Assigned  Risk  Auto  Insurance  Work?, Assigned risk in California which is what I amfamiliarwith is a processing center by which people having trouble buying auto insurance are connected with an insurance company that will insure them. Assigned Risk is not an insurance company but are companies that are required by law to participate. The amount of autos an insurance company has on the road would constitute the percentage of their obligation to the plan. There is financial hardship criteria to qualify for Assigned Risk. Also agents who offer Assigned Risk must becertifiedto offer this coverage. You can go online and then beconnectedto an agent to see if you qualify for assigned risk.
Can  My  Boyfriend  Add  Me  To  His  Car  Insurance?, If you are living in the same household then he should put you on the list of drivers. The insurance follows the car and that is linked to a household. The person buying the insurance is in the household and can loan the car to whoever he wishes. The insurance covers the automobile. If you are not living together there wouldnt be anything gained by putting you on the policy.
Do  I  Need  A  Police  Report  To  Submit  A  Claim  For  A  Car  Accident  On  Private  Property?," Actually, though the local police might prepare an accident report for you, in many cases, because the incident occured on private property, it is more likely that they would take no action at all. Therefore, if it is possible, it becomes more important to exchange information with the other party involved. I would also recommend that neither car be moved and that you take photos for your records and that of your Insurance Company to help in the processing of the claim."
Does  Full  Coverage  Auto  Insurance  Cover  Repairs?," By Full Coverage I am assuming you mean, does carrying Comprehensive and Collision coverage cover repairs? If you have a covered claim i.e. -an accident, hit a deer, backed into your wife's car like I did the other week - then yes, carrying Comprehensive and Collision coverage would pay to fix those covered damages subject to your poilcy deductible. If you are experiencing general vehicle issues, i.e. - motor running roof, transmission mission or other general wear and tear - no, your insurance coverage would not come into play in these cases. Insurance only comes into play to repair a vehilce when there is a covered claim."
